scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
build,sorted,sorted_vector,250,0,262185559,250,5167,20.668000,,16022,11848659040478790818
build,sorted,red_black_tree,250,0,262185559,250,6250,25.000000,13,18104,11848659040478790818
build,sorted,ordinary_bst,250,0,262185559,250,37292,149.168000,250,16024,11848659040478790818
build,sorted,sorted_vector,250,1,262185815,250,3459,13.836000,,16022,11848659040478790818
build,sorted,red_black_tree,250,1,262185815,250,5667,22.668000,13,18104,11848659040478790818
build,sorted,ordinary_bst,250,1,262185815,250,37083,148.332000,250,16024,11848659040478790818
build,sorted,ordinary_bst,250,2,262186071,250,36958,147.832000,250,16024,11848659040478790818
build,sorted,sorted_vector,250,2,262186071,250,3083,12.332000,,16022,11848659040478790818
build,sorted,red_black_tree,250,2,262186071,250,5167,20.668000,13,18104,11848659040478790818
build,sorted,red_black_tree,250,3,262186327,250,5000,20.000000,13,18104,11848659040478790818
build,sorted,sorted_vector,250,3,262186327,250,3042,12.168000,,16022,11848659040478790818
build,sorted,ordinary_bst,250,3,262186327,250,26542,106.168000,250,16024,11848659040478790818
build,sorted,ordinary_bst,250,4,262186583,250,26208,104.832000,250,16024,11848659040478790818
build,sorted,sorted_vector,250,4,262186583,250,2917,11.668000,,16022,11848659040478790818
build,sorted,red_black_tree,250,4,262186583,250,5083,20.332000,13,18104,11848659040478790818
build,sorted,red_black_tree,250,5,262186839,250,5000,20.000000,13,18104,11848659040478790818
build,sorted,sorted_vector,250,5,262186839,250,4334,17.336000,,16022,11848659040478790818
build,sorted,ordinary_bst,250,5,262186839,250,26083,104.332000,250,16024,11848659040478790818
build,sorted,ordinary_bst,250,6,262187095,250,26209,104.836000,250,16024,11848659040478790818
build,sorted,sorted_vector,250,6,262187095,250,3250,13.000000,,16022,11848659040478790818
build,sorted,red_black_tree,250,6,262187095,250,18209,72.836000,13,18104,11848659040478790818
lookup,sorted,red_black_tree,250,0,262185516,250,16375,65.500000,13,18104,7102893509534237680
lookup,sorted,ordinary_bst,250,0,262185516,250,55750,223.000000,250,16024,7102893509534237680
lookup,sorted,sorted_vector,250,0,262185516,250,14417,57.668000,,16022,7102893509534237680
lookup,sorted,red_black_tree,250,1,262185772,250,16000,64.000000,13,18104,10787009149341833075
lookup,sorted,sorted_vector,250,1,262185772,250,14292,57.168000,,16022,10787009149341833075
lookup,sorted,ordinary_bst,250,1,262185772,250,18209,72.836000,250,16024,10787009149341833075
lookup,sorted,ordinary_bst,250,2,262186028,250,17708,70.832000,250,16024,16806857857950414861
lookup,sorted,sorted_vector,250,2,262186028,250,7833,31.332000,,16022,16806857857950414861
lookup,sorted,red_black_tree,250,2,262186028,250,9291,37.164000,13,18104,16806857857950414861
lookup,sorted,red_black_tree,250,3,262186284,250,6416,25.664000,13,18104,13125907713969982048
lookup,sorted,sorted_vector,250,3,262186284,250,5667,22.668000,,16022,13125907713969982048
lookup,sorted,ordinary_bst,250,3,262186284,250,17834,71.336000,250,16024,13125907713969982048
lookup,sorted,sorted_vector,250,4,262186540,250,5625,22.500000,,16022,16383507200223199690
lookup,sorted,red_black_tree,250,4,262186540,250,6334,25.336000,13,18104,16383507200223199690
lookup,sorted,ordinary_bst,250,4,262186540,250,19417,77.668000,250,16024,16383507200223199690
lookup,sorted,sorted_vector,250,5,262186796,250,7875,31.500000,,16022,6245426672661515401
lookup,sorted,red_black_tree,250,5,262186796,250,8875,35.500000,13,18104,6245426672661515401
