scenario,distribution,implementation,n,repetitions,operations,elapsed_ns_median,elapsed_ns_q1,elapsed_ns_q3,ns_per_op_median,ns_per_op_q1,ns_per_op_q3,height_median,height_q1,height_q3,estimated_bytes_median,speedup_vs_rbt
build,nearly_sorted,ordinary_bst,250,7,250.0,53333.0,53125.5,53708.5,213.332,212.502,214.834,238.0,238.0,239.0,16024.0,0.21328258301614386
build,nearly_sorted,ordinary_bst,500,7,500.0,145750.0,144687.5,146333.5,291.5,289.375,292.66700000000003,476.0,475.0,478.0,32024.0,0.10520068610634649
build,nearly_sorted,ordinary_bst,1000,7,1000.0,399541.0,398333.0,401792.0,399.541,398.33299999999997,401.79200000000003,954.0,954.0,955.5,64024.0,0.05527092338458381
build,nearly_sorted,ordinary_bst,2000,7,2000.0,1494166.0,1482542.0,1518000.0,747.083,741.271,759.0,1907.0,1904.5,1907.5,128024.0,0.032766104970933616
build,nearly_sorted,ordinary_bst,4000,7,4000.0,19887916.0,18354271.0,20076708.5,4971.979,4588.56775,5019.177125,3817.0,3816.5,3818.0,256024.0,0.004489711239729693
build,nearly_sorted,ordinary_bst,8000,7,8000.0,64419625.0,60609333.5,65919854.0,8052.453125,7576.1666875,8239.981749999999,7628.0,7625.5,7632.0,512024.0,0.0031731945040040207
build,nearly_sorted,red_black_tree,250,7,250.0,11375.0,11146.0,12062.0,45.5,44.584,48.248000000000005,13.0,13.0,13.0,18104.0,1.0
build,nearly_sorted,red_black_tree,500,7,500.0,15333.0,15146.0,15396.0,30.666,30.292,30.792,15.0,15.0,15.0,36104.0,1.0
build,nearly_sorted,red_black_tree,1000,7,1000.0,22083.0,22021.0,22958.0,22.083,22.021,22.958,17.0,17.0,17.0,72104.0,1.0
build,nearly_sorted,red_black_tree,2000,7,2000.0,48958.0,48375.5,50438.0,24.479,24.18775,25.219,19.0,19.0,19.0,144104.0,1.0
build,nearly_sorted,red_black_tree,4000,7,4000.0,89291.0,88458.5,90313.0,22.32275,22.114625,22.57825,21.0,21.0,21.0,288104.0,1.0
build,nearly_sorted,red_black_tree,8000,7,8000.0,204416.0,193708.5,205458.0,25.552,24.213562500000002,25.68225,23.0,23.0,23.0,576104.0,1.0
build,nearly_sorted,sorted_vector,250,7,250.0,7167.0,7041.5,7479.0,28.668,28.166,29.916,,,,16022.0,1.5871354820706014
build,nearly_sorted,sorted_vector,500,7,500.0,11584.0,11479.0,11812.0,23.168,22.958,23.624000000000002,,,,32012.0,1.323636049723757
build,nearly_sorted,sorted_vector,1000,7,1000.0,18459.0,18354.0,18854.0,18.459,18.354,18.854,,,,63992.0,1.1963269949618072
build,nearly_sorted,sorted_vector,2000,7,2000.0,42750.0,41146.5,43000.0,21.375,20.57325,21.5,,,,127952.0,1.1452163742690058
build,nearly_sorted,sorted_vector,4000,7,4000.0,88667.0,88416.5,89041.5,22.16675,22.104125,22.260375,,,,255872.0,1.0070375675279415
build,nearly_sorted,sorted_vector,8000,7,8000.0,217500.0,199937.5,218958.5,27.1875,24.9921875,27.369812500000002,,,,511712.0,0.9398436781609195
build,random,ordinary_bst,250,7,250.0,10125.0,9854.0,20083.0,40.5,39.416,80.332,18.0,16.0,18.0,16024.0,1.218074074074074
build,random,ordinary_bst,500,7,500.0,30291.0,29729.0,30541.5,60.582,59.458,61.083,18.0,17.0,19.0,32024.0,1.23663794526427
build,random,ordinary_bst,1000,7,1000.0,45625.0,45229.0,46125.0,45.625,45.229,46.125,21.0,21.0,22.5,64024.0,1.2794520547945205
build,random,ordinary_bst,2000,7,2000.0,93958.0,92229.5,100812.5,46.979,46.11475,50.40625,25.0,24.0,26.0,128024.0,1.3583196747482917
build,random,ordinary_bst,4000,7,4000.0,219250.0,217417.0,224104.0,54.8125,54.35425,56.025999999999996,28.0,27.0,30.0,256024.0,1.2345131128848346
build,random,ordinary_bst,8000,7,8000.0,512959.0,502729.5,522583.0,64.119875,62.841187500000004,65.32287500000001,30.0,29.5,33.0,512024.0,1.1614787926520445
build,random,red_black_tree,250,7,250.0,12333.0,12145.5,25583.5,49.332,48.582,102.334,10.0,10.0,10.0,18104.0,1.0
build,random,red_black_tree,500,7,500.0,37459.0,37146.5,37646.0,74.918,74.293,75.292,11.0,11.0,11.0,36104.0,1.0
build,random,red_black_tree,1000,7,1000.0,58375.0,57958.0,59354.0,58.375,57.958,59.354,12.0,12.0,12.0,72104.0,1.0
build,random,red_black_tree,2000,7,2000.0,127625.0,118396.0,129541.5,63.8125,59.198,64.77074999999999,13.0,13.0,14.0,144104.0,1.0
build,random,red_black_tree,4000,7,4000.0,270667.0,269604.5,271771.0,67.66675,67.40112500000001,67.94274999999999,15.0,15.0,15.0,288104.0,1.0
build,random,red_black_tree,8000,7,8000.0,595791.0,592291.5,623792.0,74.473875,74.0364375,77.974,16.0,16.0,16.0,576104.0,1.0
build,random,sorted_vector,250,7,250.0,18250.0,17937.5,37916.5,73.0,71.75,151.666,,,,16022.0,0.6757808219178082
build,random,sorted_vector,500,7,500.0,93667.0,93208.5,94854.0,187.334,186.417,189.708,,,,32012.0,0.39991672627499547
build,random,sorted_vector,1000,7,1000.0,248167.0,245937.5,249770.5,248.167,245.9375,249.7705,,,,63992.0,0.2352246672603529
build,random,sorted_vector,2000,7,2000.0,852709.0,836083.5,866729.5,426.3545,418.04175,433.36475,,,,127952.0,0.14967005156507085
build,random,sorted_vector,4000,7,4000.0,3230125.0,3187166.5,3234354.0,807.53125,796.7916250000001,808.5885000000001,,,,255872.0,0.08379458999264734
build,random,sorted_vector,8000,7,8000.0,13547625.0,13306917.0,13623208.5,1693.453125,1663.364625,1702.9010625,,,,511712.0,0.043977523735710136
build,sorted,ordinary_bst,250,7,250.0,26542.0,26208.5,37020.5,106.168,104.834,148.082,250.0,250.0,250.0,16024.0,0.1946725943787205
build,sorted,ordinary_bst,500,7,500.0,165458.0,165146.0,183000.0,330.916,330.29200000000003,366.0,500.0,500.0,500.0,32024.0,0.09468263849436111
build,sorted,ordinary_bst,1000,7,1000.0,485333.0,476103.5,487875.0,485.333,476.1035,487.875,1000.0,1000.0,1000.0,64024.0,0.052627783398202885
build,sorted,ordinary_bst,2000,7,2000.0,1555208.0,1543083.5,1560354.0,777.604,771.5417500000001,780.177,2000.0,2000.0,2000.0,128024.0,0.0288816672753741
build,sorted,ordinary_bst,4000,7,4000.0,20975167.0,20214270.5,22000208.0,5243.79175,5053.567625,5500.052,4000.0,4000.0,4000.0,256024.0,0.005331685797781729
build,sorted,ordinary_bst,8000,7,8000.0,64098375.0,58452688.0,66457729.0,8012.296875,7306.586,8307.216124999999,8000.0,8000.0,8000.0,512024.0,0.0030935573639737355
build,sorted,red_black_tree,250,7,250.0,5167.0,5041.5,5958.5,20.668,20.166,23.834,13.0,13.0,13.0,18104.0,1.0
build,sorted,red_black_tree,500,7,500.0,15666.0,15583.5,17562.5,31.332,31.167,35.125,15.0,15.0,15.0,36104.0,1.0
build,sorted,red_black_tree,1000,7,1000.0,25542.0,25396.5,26020.5,25.542,25.3965,26.0205,17.0,17.0,17.0,72104.0,1.0
build,sorted,red_black_tree,2000,7,2000.0,44917.0,44166.5,48646.0,22.4585,22.08325,24.323,19.0,19.0,19.0,144104.0,1.0
build,sorted,red_black_tree,4000,7,4000.0,111833.0,88625.0,113771.0,27.95825,22.15625,28.44275,21.0,21.0,21.0,288104.0,1.0
build,sorted,red_black_tree,8000,7,8000.0,198292.0,191083.5,200125.5,24.7865,23.885437500000002,25.0156875,23.0,23.0,23.0,576104.0,1.0
build,sorted,sorted_vector,250,7,250.0,3250.0,3062.5,3896.5,13.0,12.25,15.585999999999999,,,,16022.0,1.5898461538461537
build,sorted,sorted_vector,500,7,500.0,11833.0,11666.5,12458.0,23.666,23.333,24.916,,,,32012.0,1.3239246175948618
build,sorted,sorted_vector,1000,7,1000.0,20416.0,20187.5,20604.0,20.416,20.1875,20.604,,,,63992.0,1.2510775862068966
build,sorted,sorted_vector,2000,7,2000.0,36833.0,36583.0,36979.0,18.4165,18.2915,18.4895,,,,127952.0,1.2194770993402657
build,sorted,sorted_vector,4000,7,4000.0,84375.0,84250.5,84563.0,21.09375,21.062625,21.14075,,,,255872.0,1.325428148148148
build,sorted,sorted_vector,8000,7,8000.0,200167.0,191916.5,207063.0,25.020875,23.989562499999998,25.882875,,,,511712.0,0.990632821593969
lookup,nearly_sorted,ordinary_bst,250,7,250.0,50041.0,49541.5,50166.5,200.164,198.166,200.666,238.0,238.0,239.0,16024.0,0.27227673307887534
lookup,nearly_sorted,ordinary_bst,500,7,500.0,129541.0,129229.5,130354.0,259.082,258.459,260.70799999999997,476.0,475.0,477.0,32024.0,0.1547077759165052
lookup,nearly_sorted,ordinary_bst,1000,7,1000.0,385583.0,385417.0,386979.5,385.583,385.41700000000003,386.9795,952.0,951.5,953.0,64024.0,0.08839341983438065
lookup,nearly_sorted,ordinary_bst,2000,7,2000.0,1434209.0,1431854.5,1454313.0,717.1045,715.92725,727.1565,1905.0,1903.5,1906.0,128024.0,0.05909180600595868
lookup,nearly_sorted,ordinary_bst,4000,7,4000.0,21853583.0,20554395.5,22910959.0,5463.39575,5138.598875,5727.73975,3815.0,3811.5,3816.5,256024.0,0.009367251127652614
lookup,nearly_sorted,ordinary_bst,8000,7,8000.0,80220459.0,78605687.0,84077583.5,10027.557375,9825.710875,10509.697937500001,7628.0,7625.0,7628.5,512024.0,0.006137773407654025
lookup,nearly_sorted,red_black_tree,250,7,250.0,13625.0,13562.5,13875.0,54.5,54.25,55.5,13.0,13.0,13.0,18104.0,1.0
lookup,nearly_sorted,red_black_tree,500,7,500.0,20041.0,19812.5,20437.0,40.082,39.625,40.873999999999995,15.0,15.0,15.0,36104.0,1.0
lookup,nearly_sorted,red_black_tree,1000,7,1000.0,34083.0,32895.5,34708.5,34.083,32.8955,34.7085,17.0,17.0,17.0,72104.0,1.0
lookup,nearly_sorted,red_black_tree,2000,7,2000.0,84750.0,81625.0,85042.0,42.375,40.8125,42.521,19.0,19.0,19.0,144104.0,1.0
lookup,nearly_sorted,red_black_tree,4000,7,4000.0,204708.0,199812.5,210166.5,51.177,49.953125,52.541624999999996,21.0,21.0,21.0,288104.0,1.0
lookup,nearly_sorted,red_black_tree,8000,7,8000.0,492375.0,473667.0,505750.0,61.546875,59.208375,63.21875,23.0,23.0,23.0,576104.0,1.0
lookup,nearly_sorted,sorted_vector,250,7,250.0,11917.0,11917.0,12208.5,47.668,47.668,48.834,,,,16022.0,1.14332466224721
lookup,nearly_sorted,sorted_vector,500,7,500.0,18333.0,18166.5,18396.5,36.666,36.333,36.793,,,,32012.0,1.0931653302787325
